id	moveType	moveSpeed	zoomMode	zoomShadow	enemyHp	enemyAttack	enemyBlack	enemySpeed	normalAttack	skillId	isBoss	enemymode	enemyAi	dropGold	dropExp	dropItem	txt	enemyLevel	enemyType
10001	2	1	100	80	400	150	2	3900	15	0	0	10027	8	4	25	0	红色蝙蝠/枪兵\n1-4关血量400	1	近战
10002	2	1	100	80	600	150	2	3250	15	0	0	10027	8	4	25	0	红色蝙蝠\n6-9关血量400	1	近战
10003	2	1	100	80	1500	200	2	1950	15	0	0	10027	8	4	25	0	紫色蝙蝠/枪兵\n11-14关血量400	1	近战
10004	2	1	100	80	1800	200	2	1950	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n16-19关血量400	1	近战
10005	2	1	100	80	2400	200	2	1300	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n21-24关血量400	1	近战
10006	2	1	100	80	3000	250	2	1300	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n26-29关血量400	1	近战
10007	2	1	100	80	3600	250	2	1300	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n31-34关血量400	1	近战
10008	2	1	100	80	4200	300	2	1300	15	0	0	10027	8	7	25	0	红色蝙蝠/枪兵\n36-39关血量400	1	近战
10009	2	1	100	80	5000	300	2	1300	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n41-44关血量400	1	近战
10010	2	1	100	80	6000	300	2	1300	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n46-49关血量400	1	近战
10011	2	1	100	80	1000	150	3	3900	23	0	0	10029	4	7	25	0	红色石头人/炮车\n1-4关血量1000	1	1
10012	2	1	100	80	1400	150	3	3250	23	0	0	10029	4	7	25	0	石头人/炮车\n6-10关血量1400	1	1
10013	2	1	100	80	2100	200	3	1950	1	0	0	10029	4	7	25	0	红色石头人/炮车\n11-14关血量400	1	1
10014	2	1	100	80	3150	200	3	1950	1	0	0	10029	4	7	25	0	红色石头人/炮车\n16-19关血量400	1	1
10015	2	1	100	80	3500	200	3	1300	1	0	0	10029	4	7	25	0	石头人/炮车\n21-24关血量400	1	1
10016	2	1	100	80	4500	250	3	1300	1	0	0	10029	4	12	25	0	石头人/炮车\n26-29关血量400	1	1
10017	2	1	100	80	7000	250	3	1300	1	0	0	10029	4	12	25	0	石头人/炮车\n31-34关血量400	1	1
10018	2	1	100	80	7000	300	3	1300	1	0	0	10029	4	12	25	0	石头人/炮车\n36-39关血量400	1	1
10019	2	1	100	80	10000	300	3	1300	1	0	0	10029	4	12	25	0	石头人/炮车\n41-44关血量400	1	1
10020	2	1	100	80	10000	300	3	1300	1	0	0	10029	4	12	25	0	石头人/炮车\n46-49关血量400	1	1
10021	2	0	100	80	600	150	1	3900	3	0	0	10028	2	5	25	0	食人花/法师\n1-4关血量600	1	1
10022	2	0	100	80	900	150	1	3250	3	0	0	10028	2	5	25	0	食人花/法师\n6-10关血量900	1	1
10023	2	0	100	80	1350	200	1	1950	3	0	0	10028	2	5	25	0	食人花/法师\n11-14关血量400	1	1
10024	2	0	100	80	2200	200	1	1950	4	0	0	10028	2	8	25	0	食人花2个子弹/法师\n16-19关血量400	1	1
10025	2	0	100	80	2200	200	1	1300	4	0	0	10028	2	8	25	0	食人花/法师\n21-24关血量400	1	1
10026	2	0	100	80	4000	250	1	1300	4	0	0	10028	2	8	25	0	食人花/法师\n26-29关血量400	1	1
10027	2	0	100	80	6000	250	1	1300	4	0	0	10028	2	8	25	0	食人花/法师\n31-34关血量400	1	1
10028	2	0	100	80	7000	300	1	1300	4	0	0	10028	2	8	25	0	食人花/法师\n36-39关血量400	1	1
10029	2	0	100	80	8000	300	1	1300	4	0	0	10028	2	8	25	0	食人花/法师\n41-44关血量400	1	1
