id	stageId	stageGroup	numEnemy	mixEnemy	maxEnemy	enemyGroup
1000	0	100000	0	0	0	0
1001	1	100101	3	4	5	10011
1002	1	100201	3	4	5	10011
1003	1	100301	3	4	5	10011
1004	1	100401	3	4	5	10011
1005	1	100501	3	4	5	10011
1006	1	100601	3	4	5	10011
1007	1	100701	3	4	5	10011
1008	1	100801	3	4	5	10011
1009	1	100901	3	4	5	10011
1010	1	101001	3	4	5	10011
1011	2	200101	3	4	5	10011
1012	2	200201	3	4	5	10011
1013	2	200301	3	4	5	10011
1014	2	200401	3	4	5	10011
1015	2	200501	3	4	5	10011
1016	2	200601	3	4	5	10011
1017	2	200701	3	4	5	10011
1018	2	200801	3	4	5	10011
1019	2	200901	3	4	5	10011
1020	2	201001	3	4	5	10011
1021	2	201101	3	4	5	10011
1022	2	201201	3	4	5	10011
1023	2	201301	3	4	5	10011
1024	2	201401	3	4	5	10011
1025	2	201501	3	4	5	10011
1026	2	201601	3	4	5	10011
1027	2	201701	3	4	5	10011
1028	2	201801	3	4	5	10011
1029	2	201901	3	4	5	10011
1030	2	202001	3	4	5	10011
1031	3	300101	3	4	5	10011
1032	3	300201	3	4	5	10011
1033	3	300301	3	4	5	10011
1034	3	300401	3	4	5	10011
1035	3	300501	3	4	5	10011
1036	3	300601	3	4	5	10011
1037	3	300701	3	4	5	10011
1038	3	300801	3	4	5	10011
1039	3	300901	3	4	5	10011
1040	3	301001,301002,301003,301004	3	4	5	10011
1041	3	301101	3	4	5	10011
1042	3	301201	3	4	5	10011
1043	3	301301	3	4	5	10011
1044	3	301401	3	4	5	10011
1045	3	301501	3	4	5	10011
1046	3	301601	3	4	5	10011
1047	3	301701	3	4	5	10011
1048	3	301801	3	4	5	10011
1049	3	301901	3	4	5	10011
1050	3	302001,302002,302003	3	4	5	10011
1051	3	302101	3	4	5	10011
1052	3	302201	3	4	5	10011
1053	3	302301	3	4	5	10011
1054	3	302401	3	4	5	10011
1055	3	302501	3	4	5	10011
1056	3	302601	3	4	5	10011
1057	3	302701	3	4	5	10011
1058	3	302801	3	4	5	10011
1059	3	302901	3	4	5	10011
1060	3	303001	3	4	5	10011
